"dataset","description","version"
"hannuus_eg_gene","Helianthus annuus genes (HanXRQr2.0-SUNRISE)","HanXRQr2.0-SUNRISE"
"hvgoldenpromise_eg_gene","Hordeum vulgare GoldenPromise genes (GPv1)","GPv1"
"hvtritex_eg_gene","Hordeum vulgare TRITEX genes (Morex_V2_scaf)","Morex_V2_scaf"
"hvulgare_eg_gene","Hordeum vulgare genes (MorexV3_pseudomolecules_assembly)","MorexV3_pseudomolecules_assembly"
"itriloba_eg_gene","Ipomoea triloba genes (ASM357664v1)","ASM357664v1"
"jregia_eg_gene","Juglans regia genes (Walnut_2.0)","Walnut_2.0"
"kfedtschenkoi_eg_gene","Kalanchoe fedtschenkoi genes (K_fedtschenkoi_M2_v1)","K_fedtschenkoi_M2_v1"
"langustifolius_eg_gene","Lupinus angustifolius genes (LupAngTanjil_v1.0)","LupAngTanjil_v1.0"
"lperrieri_eg_gene","Leersia perrieri genes (Lperr_V1.4)","Lperr_V1.4"
"lsativa_eg_gene","Lactuca sativa genes (Lsat_Salinas_v7)","Lsat_Salinas_v7"
"macuminata_eg_gene","Musa acuminata genes (Musa_acuminata_v2)","Musa_acuminata_v2"
"mdgolden_eg_gene","Malus domestica Golden genes (ASM211411v1)","ASM211411v1"
"mesculenta_eg_gene","Manihot esculenta genes (Manihot esculenta v6)","Manihot esculenta v6"
"mpolymorpha_eg_gene","Marchantia polymorpha genes (Marchanta_polymorpha_v1)","Marchanta_polymorpha_v1"
"mtruncatula_eg_gene","Medicago truncatula genes (MedtrA17_4.0)","MedtrA17_4.0"
"nattenuata_eg_gene","Nicotiana attenuata genes (NIATTr2)","NIATTr2"
"ncolorata_eg_gene","Nymphaea colorata genes (ASM883128v1)","ASM883128v1"
"obarthii_eg_gene","Oryza barthii genes (O.barthii_v1)","O.barthii_v1"
"obrachyantha_eg_gene","Oryza brachyantha genes (Oryza_brachyantha.v1.4b)","Oryza_brachyantha.v1.4b"
"oesylvestris_eg_gene","Olea europaea var. sylvestris genes (O_europaea_v1)","O_europaea_v1"
"oeuropaea_eg_gene","Olea europaea genes (OLEA9)","OLEA9"
"oglaberrima_eg_gene","Oryza glaberrima genes (Oryza_glaberrima_V1)","Oryza_glaberrima_V1"
"oglumipatula_eg_gene","Oryza glumipatula genes (Oryza_glumaepatula_v1.5)","Oryza_glumaepatula_v1.5"
"oindica_eg_gene","Oryza sativa Indica Group genes (ASM465v1)","ASM465v1"
"olongistaminata_eg_gene","Oryza longistaminata genes (O_longistaminata_v1.0)","O_longistaminata_v1.0"
"olucimarinus_eg_gene","Ostreococcus lucimarinus genes (ASM9206v1)","ASM9206v1"
"omeridionalis_eg_gene","Oryza meridionalis genes (Oryza_meridionalis_v1.3)","Oryza_meridionalis_v1.3"
"onivara_eg_gene","Oryza nivara genes (Oryza_nivara_v1.0)","Oryza_nivara_v1.0"
"opunctata_eg_gene","Oryza punctata genes (Oryza_punctata_v1.2)","Oryza_punctata_v1.2"
"orufipogon_eg_gene","Oryza rufipogon genes (OR_W1943)","OR_W1943"
"osativa_eg_gene","Oryza sativa Japonica Group genes (IRGSP-1.0)","IRGSP-1.0"
"pavium_eg_gene","Prunus avium genes (PAV_r1.0)","PAV_r1.0"
"pdulcis_eg_gene","Prunus dulcis genes (ALMONDv2)","ALMONDv2"
"phallii_eg_gene","Panicum hallii HAL2 genes (PhalliiHAL_v2.1)","PhalliiHAL_v2.1"
"phfil2_eg_gene","Panicum hallii FIL2 genes (PHallii_v3.1)","PHallii_v3.1"
"ppatens_eg_gene","Physcomitrium patens genes (Phypa V3)","Phypa V3"
"ppersica_eg_gene","Prunus persica genes (Prunus_persica_NCBIv2)","Prunus_persica_NCBIv2"
"psativum_eg_gene","Pisum sativum genes (Pisum_sativum_v1a)","Pisum_sativum_v1a"
"psomniferum_eg_gene","Papaver somniferum genes (ASM357369v1)","ASM357369v1"
"ptrichocarpa_eg_gene","Populus trichocarpa genes (Pop_tri_v3)","Pop_tri_v3"
"pvera_eg_gene","Pistacia vera genes (PisVer_v2)","PisVer_v2"
"pvulgaris_eg_gene","Phaseolus vulgaris genes (PhaVulg1_0)","PhaVulg1_0"
"qlobata_eg_gene","Quercus lobata genes (ValleyOak3.0)","ValleyOak3.0"
"rchinensis_eg_gene","Rosa chinensis genes (RchiOBHm-V2)","RchiOBHm-V2"
"sbicolor_eg_gene","Sorghum bicolor genes (Sorghum_bicolor_NCBIv3)","Sorghum_bicolor_NCBIv3"
"scereale_eg_gene","Secale cereale genes (Rye_Lo7_2018_v1p1p1)","Rye_Lo7_2018_v1p1p1"
"sindicum_eg_gene","Sesamum indicum genes (S_indicum_v1.0)","S_indicum_v1.0"
"sitalica_eg_gene","Setaria italica genes (Setaria_italica_v2.0)","Setaria_italica_v2.0"
"slycopersicum_eg_gene","Solanum lycopersicum genes (SL3.0)","SL3.0"
"smoellendorffii_eg_gene","Selaginella moellendorffii genes (v1.0)","v1.0"
"sspontaneum_eg_gene","Saccharum spontaneum genes (Sspon.HiC_chr_asm)","Sspon.HiC_chr_asm"
"stuberosum_eg_gene","Solanum tuberosum genes (SolTub_3.0)","SolTub_3.0"
"sviridis_eg_gene","Setaria viridis genes (Setaria_viridis_v2.0)","Setaria_viridis_v2.0"
"taarinalrfor_eg_gene","Triticum aestivum Arinalrfor genes (PGSBv2.0_Arinalrfor)","PGSBv2.0_Arinalrfor"
"tacadenza_eg_gene","Triticum aestivum Cadenza genes (TGAC_cadenza)","TGAC_cadenza"
"taclaire_eg_gene","Triticum aestivum Claire genes (TGAC_paragon)","TGAC_paragon"
"taestivum_eg_gene","Triticum aestivum genes (IWGSC)","IWGSC"
"tajagger_eg_gene","Triticum aestivum Jagger genes (PGSBv2.0_Jagger)","PGSBv2.0_Jagger"
"tajulius_eg_gene","Triticum aestivum Julius genes (PGSBv2.0_Julius)","PGSBv2.0_Julius"
"talancer_eg_gene","Triticum aestivum Lancer genes (PGSBv2.0_Lancer)","PGSBv2.0_Lancer"
"talandmark_eg_gene","Triticum aestivum Landmark genes (PGSBv2.0_Landmark)","PGSBv2.0_Landmark"
"tamace_eg_gene","Triticum aestivum Mace genes (PGSBv2.0_Mace)","PGSBv2.0_Mace"
"tamattis_eg_gene","Triticum aestivum Sy Mattis genes (PGSBv2.0_Mattis)","PGSBv2.0_Mattis"
"tanorin61_eg_gene","Triticum aestivum Norin61 genes (PGSBv2.0_Norin61)","PGSBv2.0_Norin61"
"taparagon_eg_gene","Triticum aestivum Paragon genes (EI_paragon)","EI_paragon"
"tarobigus_eg_gene","Triticum aestivum Robigus genes (TGAC_robigus)","TGAC_robigus"
"tastanley_eg_gene","Triticum aestivum Stanley genes (PGSBv2.2_Stanley)","PGSBv2.2_Stanley"
"taweebil_eg_gene","Triticum aestivum Weebill genes (EI_WeebilV1)","EI_WeebilV1"
"tcacao_eg_gene","Theobroma cacao Matina 1-6 genes (Theobroma_cacao_20110822)","Theobroma_cacao_20110822"
"tccriollo_eg_gene","Theobroma cacao Belizian Criollo B97-61/B2 genes (Criollo_cocoa_genome_V2)","Criollo_cocoa_genome_V2"
"tdicoccoides_eg_gene","Triticum dicoccoides genes (WEWSeq v.1.0)","WEWSeq v.1.0"
"tpratense_eg_gene","Trifolium pratense genes (Trpr)","Trpr"
"tspelta_eg_gene","Triticum spelta genes (PGSBv2.0_Spelta)","PGSBv2.0_Spelta"
"tturgidum_eg_gene","Triticum turgidum genes (svevo)","svevo"
"turartu_eg_gene","Triticum urartu genes (Tu2.0)","Tu2.0"
"vangularis_eg_gene","Vigna angularis genes (Vigan1.1)","Vigan1.1"
"vradiata_eg_gene","Vigna radiata genes (Vradiata_ver6)","Vradiata_ver6"
"vvinifera_eg_gene","Vitis vinifera genes (PN40024.v4)","PN40024.v4"
"zmays_eg_gene","Zea mays genes (Zm-B73-REFERENCE-NAM-5.0)","Zm-B73-REFERENCE-NAM-5.0"
