"dataset","description","version"
"nvectensis_eg_gene","Nematostella vectensis genes (ASM20922v1)","ASM20922v1"
"nvitripennis_eg_gene","Nasonia vitripennis (AsymCx) genes (Nvit_psr_1.1)","Nvit_psr_1.1"
"obimaculoides_eg_gene","Octopus bimaculoides genes (PRJNA270931)","PRJNA270931"
"ocincta_eg_gene","Orchesella cincta genes (ASM171814v1)","ASM171814v1"
"ovolvulus_eg_gene","Onchocerca volvulus (PRJEB513) genes (ASM49940v2)","ASM49940v2"
"phumanus_eg_gene","Pediculus humanus genes (PhumU2)","PhumU2"
"ppacificus_eg_gene","Pristionchus pacificus (PRJNA12644) genes (El_Paco)","El_Paco"
"ppapatasi_eg_gene","Phlebotomus papatasi genes (PpapI1)","PpapI1"
"rprolixus_eg_gene","Rhodnius prolixus genes (RproC3)","RproC3"
"scalcitrans_eg_gene","Stomoxys calcitrans genes (ScalU1)","ScalU1"
"sinvicta_eg_gene","Solenopsis invicta (M01_SB) genes (UNIL_Sinv_3.0)","UNIL_Sinv_3.0"
"smansoni_eg_gene","Schistosoma mansoni (PRJEA36577) genes (Smansoni_v7)","Smansoni_v7"
"smaritima_eg_gene","Strigamia maritima genes (Smar1)","Smar1"
"smimosarum_eg_gene","Stegodyphus mimosarum genes (Stegodyphus_mimosarum_v1)","Stegodyphus_mimosarum_v1"
"spurpuratus_eg_gene","Strongylocentrotus purpuratus (Spur 01) genes (Spur_5.0)","Spur_5.0"
"sratti_eg_gene","Strongyloides ratti (PRJEB125) genes (S_ratti_ED321_v5_0_4)","S_ratti_ED321_v5_0_4"
"sscabiei_eg_gene","Sarcoptes scabiei (SSS_KF_BRIS2020) genes (GCA014595675v1)","GCA014595675v1"
"tadhaerens_eg_gene","Trichoplax adhaerens genes (ASM15027v1)","ASM15027v1"
"tcastaneum_eg_gene","Tribolium castaneum genes (Tcas5.2)","Tcas5.2"
"tdalmanni_eg_gene","Teleopsis dalmanni (2A) genes (GCA002237135v2)","GCA002237135v2"
"tkitauei_eg_gene","Thelohanellus kitauei genes (ASM82789v1)","ASM82789v1"
"tmuris_eg_gene","Trichuris muris (PRJEB126) genes (TMUE3.0)","TMUE3.0"
"tspiralis_eg_gene","Trichinella spiralis genes (Tspiralis1)","Tspiralis1"
"turticae_eg_gene","Tetranychus urticae genes (ASM23943v1)","ASM23943v1"
"znevadensis_eg_gene","Zootermopsis nevadensis genes (ZooNev1.0)","ZooNev1.0"
